time,x_tf,y_tf,x_pf,y_pf
1747641548.655019522,-2.9135380179877584,-4.957446330529074,-2.9195662911563596,-4.933571425889125
1747641548.683691740,-2.905499626896791,-4.9062650980374425,-2.909038737015798,-4.90703311063214
1747641548.753705740,-2.878736519233717,-4.748217478266414,-2.8887552544695994,-4.781716357107105
1747641548.794475317,-2.852111235105892,-4.614300092054842,-2.879557588681122,-4.733012909573734
1747641548.811421633,-2.8457272157537057,-4.587622443979881,-2.850870173494654,-4.594736474431298
1747641548.840329170,-2.825004381090855,-4.507885249326274,-2.8398175224035587,-4.543438361805625
1747641548.893130779,-2.8019281696115983,-4.426569508259314,-2.8154060229281113,-4.462837745617213
1747641548.933657408,-2.76180452209805,-4.286391936467164,-2.7767463372696026,-4.32764629483124
1747641548.993060350,-2.7361990442642714,-4.200192444766468,-2.7436426947383414,-4.203378745732439
1747641549.030561686,-2.6907514462763644,-4.0546052724654675,-2.6981963254285057,-4.057137118765862
1747641549.072335720,-2.638973950432091,-3.9070260278193847,-2.6329624597449577,-3.8817920452983636
1747641549.122660875,-2.577057889843409,-3.7592826198566516,-2.5964832582088513,-3.7922062438476147
1747641549.146059036,-2.5635497093937203,-3.729940019899821,-2.5491371519122525,-3.702457843981913
1747641549.196436882,-2.4904143783759776,-3.583515612327309,-2.5095630181976287,-3.6137767892264994
1747641549.228240967,-2.442657333085743,-3.496212590749761,-2.4475115862464882,-3.4970564184512356
1747641549.266698837,-2.377266456735008,-3.3788507560528203,-2.3991736195425943,-3.414350183997119
1747641549.292439222,-2.3275021110626866,-3.292112867566542,-2.381429608437031,-3.387319544476723
1747641549.315630436,-2.3275021110626866,-3.292112867566542,-2.3320815972912614,-3.2992130231264367
1747641549.342864752,-2.2937331784225226,-3.2348098984071703,-2.2981516778833795,-3.242257963670126
1747641549.361984730,-2.276190195423901,-3.206556379759999,-2.284563179165862,-3.2176378978691154
1747641549.382626534,-2.258337040018994,-3.1784977145350015,-2.2480609679471883,-3.1583674275350124
1747641549.421628714,-2.2029960773588684,-3.0964378516960434,-2.2078726632399004,-3.1040266563201486
1747641549.447070360,-2.1840691316481577,-3.069733849016392,-2.1873676784794855,-3.076517691630752
1747641549.494636297,-2.125371294998242,-2.9913020776761674,-2.129766868426068,-3.002114274842119
